,overall_ntrials,overall_ncorrect,overall_rt_mean,overall_rt_mean_outrmvd,overall_rt_outrmvd,happy_ntrials,happy_ncorrect,happy_rt_mean,happy_rt_mean_outrmvd,happy_rt_outrmvd,happy_female_ntrials,happy_female_ncorrect,happy_female_rt_mean,happy_female_rt_mean_outrmvd,happy_female_rt_outrmvd,happy_female_strong_ntrials,happy_female_strong_ncorrect,happy_female_strong_rt_mean,happy_female_strong_rt_mean_outrmvd,happy_female_strong_rt_outrmvd,happy_female_weak_ntrials,happy_female_weak_ncorrect,happy_female_weak_rt_mean,happy_female_weak_rt_mean_outrmvd,happy_female_weak_rt_outrmvd,happy_male_ntrials,happy_male_ncorrect,happy_male_rt_mean,happy_male_rt_mean_outrmvd,happy_male_rt_outrmvd,happy_male_strong_ntrials,happy_male_strong_ncorrect,happy_male_strong_rt_mean,happy_male_strong_rt_mean_outrmvd,happy_male_strong_rt_outrmvd,happy_male_weak_ntrials,happy_male_weak_ncorrect,happy_male_weak_rt_mean,happy_male_weak_rt_mean_outrmvd,happy_male_weak_rt_outrmvd,afraid_ntrials,afraid_ncorrect,afraid_rt_mean,afraid_rt_mean_outrmvd,afraid_rt_outrmvd,afraid_female_ntrials,afraid_female_ncorrect,afraid_female_rt_mean,afraid_female_rt_mean_outrmvd,afraid_female_rt_outrmvd,afraid_female_strong_ntrials,afraid_female_strong_ncorrect,afraid_female_strong_rt_mean,afraid_female_strong_rt_mean_outrmvd,afraid_female_strong_rt_outrmvd,afraid_female_weak_ntrials,afraid_female_weak_ncorrect,afraid_female_weak_rt_mean,afraid_female_weak_rt_mean_outrmvd,afraid_female_weak_rt_outrmvd,afraid_male_ntrials,afraid_male_ncorrect,afraid_male_rt_mean,afraid_male_rt_mean_outrmvd,afraid_male_rt_outrmvd,afraid_male_strong_ntrials,afraid_male_strong_ncorrect,afraid_male_strong_rt_mean,afraid_male_strong_rt_mean_outrmvd,afraid_male_strong_rt_outrmvd,afraid_male_weak_ntrials,afraid_male_weak_ncorrect,afraid_male_weak_rt_mean,afraid_male_weak_rt_mean_outrmvd,afraid_male_weak_rt_outrmvd,angry_ntrials,angry_ncorrect,angry_rt_mean,angry_rt_mean_outrmvd,angry_rt_outrmvd,angry_male_ntrials,angry_male_ncorrect,angry_male_rt_mean,angry_male_rt_mean_outrmvd,angry_male_rt_outrmvd,angry_male_weak_ntrials,angry_male_weak_ncorrect,angry_male_weak_rt_mean,angry_male_weak_rt_mean_outrmvd,angry_male_weak_rt_outrmvd,angry_male_strong_ntrials,angry_male_strong_ncorrect,angry_male_strong_rt_mean,angry_male_strong_rt_mean_outrmvd,angry_male_strong_rt_outrmvd,angry_female_ntrials,angry_female_ncorrect,angry_female_rt_mean,angry_female_rt_mean_outrmvd,angry_female_rt_outrmvd,angry_female_weak_ntrials,angry_female_weak_ncorrect,angry_female_weak_rt_mean,angry_female_weak_rt_mean_outrmvd,angry_female_weak_rt_outrmvd,angry_female_strong_ntrials,angry_female_strong_ncorrect,angry_female_strong_rt_mean,angry_female_strong_rt_mean_outrmvd,angry_female_strong_rt_outrmvd,neutral_ntrials,neutral_ncorrect,neutral_rt_mean,neutral_rt_mean_outrmvd,neutral_rt_outrmvd,neutral_female_ntrials,neutral_female_ncorrect,neutral_female_rt_mean,neutral_female_rt_mean_outrmvd,neutral_female_rt_outrmvd,neutral_male_ntrials,neutral_male_ncorrect,neutral_male_rt_mean,neutral_male_rt_mean_outrmvd,neutral_male_rt_outrmvd,sad_ntrials,sad_ncorrect,sad_rt_mean,sad_rt_mean_outrmvd,sad_rt_outrmvd,sad_female_ntrials,sad_female_ncorrect,sad_female_rt_mean,sad_female_rt_mean_outrmvd,sad_female_rt_outrmvd,sad_female_strong_ntrials,sad_female_strong_ncorrect,sad_female_strong_rt_mean,sad_female_strong_rt_mean_outrmvd,sad_female_strong_rt_outrmvd,sad_female_weak_ntrials,sad_female_weak_ncorrect,sad_female_weak_rt_mean,sad_female_weak_rt_mean_outrmvd,sad_female_weak_rt_outrmvd,sad_male_ntrials,sad_male_ncorrect,sad_male_rt_mean,sad_male_rt_mean_outrmvd,sad_male_rt_outrmvd,sad_male_weak_ntrials,sad_male_weak_ncorrect,sad_male_weak_rt_mean,sad_male_weak_rt_mean_outrmvd,sad_male_weak_rt_outrmvd,sad_male_strong_ntrials,sad_male_strong_ncorrect,sad_male_strong_rt_mean,sad_male_strong_rt_mean_outrmvd,sad_male_strong_rt_outrmvd,group
4273,40.0,32.0,1963.5625,1855.93548387,1.0,8.0,7.0,2108.71428571,2108.71428571,0.0,4.0,3.0,2243.66666667,2243.66666667,0.0,2.0,2.0,2625.5,2625.5,0.0,2.0,1.0,1480.0,,1.0,4.0,4.0,2007.5,2007.5,0.0,2.0,2.0,1840.0,1840.0,0.0,2.0,2.0,2175.0,2175.0,0.0,8.0,7.0,1762.85714286,1762.85714286,0.0,4.0,3.0,1886.66666667,1886.66666667,0.0,2.0,2.0,2115.0,2115.0,0.0,2.0,1.0,1430.0,,1.0,4.0,4.0,1670.0,1670.0,0.0,2.0,2.0,1535.0,1535.0,0.0,2.0,2.0,1805.0,1805.0,0.0,8.0,4.0,1490.25,1490.25,0.0,4.0,2.0,1375.0,1375.0,0.0,2.0,0.0,,,0.0,2.0,2.0,1375.0,1375.0,0.0,4.0,2.0,1605.5,1605.5,0.0,2.0,0.0,,,0.0,2.0,2.0,1605.5,1605.5,0.0,8.0,8.0,2166.25,2166.25,0.0,4.0,4.0,1700.0,1700.0,0.0,4.0,4.0,2632.5,2632.5,0.0,8.0,6.0,2073.66666667,2073.66666667,0.0,4.0,4.0,2075.25,2075.25,0.0,2.0,2.0,2730.5,2730.5,0.0,2.0,2.0,1420.0,1420.0,0.0,4.0,2.0,2070.5,2070.5,0.0,2.0,1.0,2230.0,,1.0,2.0,1.0,1911.0,,1.0,1.0
4307,40.0,35.0,2684.42857143,2684.42857143,0.0,8.0,8.0,2271.375,2271.375,0.0,4.0,4.0,2342.5,2342.5,0.0,2.0,2.0,2725.0,2725.0,0.0,2.0,2.0,1960.0,1960.0,0.0,4.0,4.0,2200.25,2200.25,0.0,2.0,2.0,2100.5,2100.5,0.0,2.0,2.0,2300.0,2300.0,0.0,8.0,7.0,3078.71428571,3078.71428571,0.0,4.0,3.0,2570.0,2570.0,0.0,2.0,1.0,2670.0,,1.0,2.0,2.0,2520.0,2520.0,0.0,4.0,4.0,3460.25,3460.25,0.0,2.0,2.0,3135.5,3135.5,0.0,2.0,2.0,3785.0,3785.0,0.0,8.0,7.0,1988.57142857,1988.57142857,0.0,4.0,3.0,2416.66666667,2416.66666667,0.0,2.0,2.0,2620.0,2620.0,0.0,2.0,1.0,2010.0,,1.0,4.0,4.0,1667.5,1667.5,0.0,2.0,2.0,2065.0,2065.0,0.0,2.0,2.0,1270.0,1270.0,0.0,8.0,7.0,2977.14285714,2977.14285714,0.0,4.0,3.0,3460.0,3460.0,0.0,4.0,4.0,2615.0,2615.0,0.0,8.0,6.0,3245.5,3245.5,0.0,4.0,3.0,3007.33333333,3007.33333333,0.0,2.0,2.0,3650.5,3650.5,0.0,2.0,1.0,1721.0,,1.0,4.0,3.0,3483.66666667,3483.66666667,0.0,2.0,2.0,1970.0,1970.0,0.0,2.0,1.0,6511.0,,1.0,0.0
4346,40.0,34.0,3144.26470588,2851.93939394,1.0,8.0,8.0,2282.5,2282.5,0.0,4.0,4.0,2685.0,2685.0,0.0,2.0,2.0,3225.0,3225.0,0.0,2.0,2.0,2145.0,2145.0,0.0,4.0,4.0,1880.0,1880.0,0.0,2.0,2.0,1780.0,1780.0,0.0,2.0,2.0,1980.0,1980.0,0.0,8.0,6.0,6612.0,6612.0,0.0,4.0,3.0,5943.66666667,5943.66666667,0.0,2.0,1.0,2770.0,,1.0,2.0,2.0,7530.5,7530.5,0.0,4.0,3.0,7280.33333333,7280.33333333,0.0,2.0,2.0,5965.0,5965.0,0.0,2.0,1.0,9911.0,,1.0,8.0,6.0,3727.0,3727.0,0.0,4.0,3.0,3103.33333333,3103.33333333,0.0,2.0,1.0,4160.0,,1.0,2.0,2.0,2575.0,2575.0,0.0,4.0,3.0,4350.66666667,4350.66666667,0.0,2.0,1.0,4681.0,,1.0,2.0,2.0,4185.5,4185.5,0.0,8.0,8.0,2062.625,2062.625,0.0,4.0,4.0,1935.0,1935.0,0.0,4.0,4.0,2190.25,2190.25,0.0,8.0,6.0,1685.0,1685.0,0.0,4.0,4.0,1932.5,1932.5,0.0,2.0,2.0,2025.0,2025.0,0.0,2.0,2.0,1840.0,1840.0,0.0,4.0,2.0,1190.0,1190.0,0.0,2.0,0.0,,,0.0,2.0,2.0,1190.0,1190.0,0.0,1.0
4365,40.0,35.0,1699.8,1588.91176471,1.0,8.0,8.0,1511.25,1511.25,0.0,4.0,4.0,1725.0,1725.0,0.0,2.0,2.0,1665.0,1665.0,0.0,2.0,2.0,1785.0,1785.0,0.0,4.0,4.0,1297.5,1297.5,0.0,2.0,2.0,1420.0,1420.0,0.0,2.0,2.0,1175.0,1175.0,0.0,8.0,7.0,2074.57142857,2074.57142857,0.0,4.0,3.0,2070.33333333,2070.33333333,0.0,2.0,1.0,1710.0,,1.0,2.0,2.0,2250.5,2250.5,0.0,4.0,4.0,2077.75,2077.75,0.0,2.0,2.0,2400.5,2400.5,0.0,2.0,2.0,1755.0,1755.0,0.0,8.0,6.0,2216.66666667,2216.66666667,0.0,4.0,4.0,2617.5,2617.5,0.0,2.0,2.0,3615.0,3615.0,0.0,2.0,2.0,1620.0,1620.0,0.0,4.0,2.0,1415.0,1415.0,0.0,2.0,1.0,1430.0,,1.0,2.0,1.0,1400.0,,1.0,8.0,8.0,1401.25,1401.25,0.0,4.0,4.0,1205.0,1205.0,0.0,4.0,4.0,1597.5,1597.5,0.0,8.0,6.0,1395.16666667,1395.16666667,0.0,4.0,3.0,1347.0,1347.0,0.0,2.0,1.0,1280.0,,1.0,2.0,2.0,1380.5,1380.5,0.0,4.0,3.0,1443.33333333,1443.33333333,0.0,2.0,1.0,1080.0,,1.0,2.0,2.0,1625.0,1625.0,0.0,0.0
4366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
4367,40.0,32.0,3891.84375,3744.4516129,1.0,8.0,8.0,3247.5,3247.5,0.0,4.0,4.0,3447.5,3447.5,0.0,2.0,2.0,3750.0,3750.0,0.0,2.0,2.0,3145.0,3145.0,0.0,4.0,4.0,3047.5,3047.5,0.0,2.0,2.0,3270.0,3270.0,0.0,2.0,2.0,2825.0,2825.0,0.0,8.0,8.0,5334.5,5334.5,0.0,4.0,4.0,6071.0,6071.0,0.0,2.0,2.0,5911.0,5911.0,0.0,2.0,2.0,6231.0,6231.0,0.0,4.0,4.0,4598.0,4598.0,0.0,2.0,2.0,4785.0,4785.0,0.0,2.0,2.0,4411.0,4411.0,0.0,8.0,4.0,3862.75,3862.75,0.0,4.0,2.0,3010.0,3010.0,0.0,2.0,0.0,,,0.0,2.0,2.0,3010.0,3010.0,0.0,4.0,2.0,4715.5,4715.5,0.0,2.0,1.0,5221.0,,1.0,2.0,1.0,4210.0,,1.0,8.0,8.0,3131.25,3131.25,0.0,4.0,4.0,2757.5,2757.5,0.0,4.0,4.0,3505.0,3505.0,0.0,8.0,4.0,3845.5,3845.5,0.0,4.0,2.0,3355.0,3355.0,0.0,2.0,2.0,3355.0,3355.0,0.0,2.0,0.0,,,0.0,4.0,2.0,4336.0,4336.0,0.0,2.0,0.0,,,0.0,2.0,2.0,4336.0,4336.0,0.0,1.0
4368,40.0,30.0,3936.26666667,3936.26666667,0.0,8.0,7.0,3101.57142857,3101.57142857,0.0,4.0,4.0,3755.25,3755.25,0.0,2.0,2.0,4640.5,4640.5,0.0,2.0,2.0,2870.0,2870.0,0.0,4.0,3.0,2230.0,2230.0,0.0,2.0,2.0,2425.0,2425.0,0.0,2.0,1.0,1840.0,,1.0,8.0,5.0,5628.6,5628.6,0.0,4.0,2.0,6106.5,6106.5,0.0,2.0,1.0,8332.0,,1.0,2.0,1.0,3881.0,,1.0,4.0,3.0,5310.0,5310.0,0.0,2.0,2.0,5535.0,5535.0,0.0,2.0,1.0,4860.0,,1.0,8.0,3.0,3110.33333333,3110.33333333,0.0,4.0,2.0,3360.5,3360.5,0.0,2.0,1.0,4211.0,,1.0,2.0,1.0,2510.0,,1.0,4.0,1.0,2610.0,,1.0,2.0,0.0,,,0.0,2.0,1.0,2610.0,,1.0,8.0,8.0,5279.125,5279.125,0.0,4.0,4.0,4997.75,4997.75,0.0,4.0,4.0,5560.5,5560.5,0.0,8.0,7.0,2381.42857143,2381.42857143,0.0,4.0,3.0,3203.33333333,3203.33333333,0.0,2.0,1.0,2710.0,,1.0,2.0,2.0,3450.0,3450.0,0.0,4.0,4.0,1765.0,1765.0,0.0,2.0,2.0,1895.0,1895.0,0.0,2.0,2.0,1635.0,1635.0,0.0,1.0
4369,40.0,30.0,1627.1,1627.1,0.0,8.0,6.0,1300.0,1300.0,0.0,4.0,4.0,1342.5,1342.5,0.0,2.0,2.0,1550.0,1550.0,0.0,2.0,2.0,1135.0,1135.0,0.0,4.0,2.0,1215.0,1215.0,0.0,2.0,1.0,1250.0,,1.0,2.0,1.0,1180.0,,1.0,8.0,5.0,2166.0,2166.0,0.0,4.0,2.0,2380.0,2380.0,0.0,2.0,2.0,2380.0,2380.0,0.0,2.0,0.0,,,0.0,4.0,3.0,2023.33333333,2023.33333333,0.0,2.0,2.0,2385.0,2385.0,0.0,2.0,1.0,1300.0,,1.0,8.0,7.0,1687.42857143,1687.42857143,0.0,4.0,3.0,1710.33333333,1710.33333333,0.0,2.0,1.0,2320.0,,1.0,2.0,2.0,1405.5,1405.5,0.0,4.0,4.0,1670.25,1670.25,0.0,2.0,2.0,1860.5,1860.5,0.0,2.0,2.0,1480.0,1480.0,0.0,8.0,7.0,1271.42857143,1271.42857143,0.0,4.0,4.0,1220.0,1220.0,0.0,4.0,3.0,1340.0,1340.0,0.0,8.0,5.0,1894.2,1894.2,0.0,4.0,3.0,2187.0,2187.0,0.0,2.0,2.0,2160.5,2160.5,0.0,2.0,1.0,2240.0,,1.0,4.0,2.0,1455.0,1455.0,0.0,2.0,0.0,,,0.0,2.0,2.0,1455.0,1455.0,0.0,0.0
4370,40.0,30.0,5405.96666667,5405.96666667,0.0,8.0,8.0,4204.125,4204.125,0.0,4.0,4.0,2992.75,2992.75,0.0,2.0,2.0,3835.5,3835.5,0.0,2.0,2.0,2150.0,2150.0,0.0,4.0,4.0,5415.5,5415.5,0.0,2.0,2.0,2740.0,2740.0,0.0,2.0,2.0,8091.0,8091.0,0.0,8.0,7.0,9661.71428571,9661.71428571,0.0,4.0,3.0,6163.33333333,6163.33333333,0.0,2.0,2.0,6830.0,6830.0,0.0,2.0,1.0,4830.0,,1.0,4.0,4.0,12285.5,12285.5,0.0,2.0,2.0,12585.5,12585.5,0.0,2.0,2.0,11985.5,11985.5,0.0,8.0,2.0,5395.0,5395.0,0.0,4.0,1.0,2840.0,,1.0,2.0,0.0,,,0.0,2.0,1.0,2840.0,,1.0,4.0,1.0,7950.0,,1.0,2.0,0.0,,,0.0,2.0,1.0,7950.0,,1.0,8.0,8.0,3244.0,3244.0,0.0,4.0,4.0,3210.25,3210.25,0.0,4.0,4.0,3277.75,3277.75,0.0,8.0,5.0,4834.4,4834.4,0.0,4.0,2.0,3456.0,3456.0,0.0,2.0,1.0,3661.0,,1.0,2.0,1.0,3251.0,,1.0,4.0,3.0,5753.33333333,5753.33333333,0.0,2.0,2.0,6900.0,6900.0,0.0,2.0,1.0,3460.0,,1.0,1.0
4371,40.0,29.0,3123.65517241,2882.67857143,1.0,8.0,7.0,3774.57142857,3774.57142857,0.0,4.0,4.0,3057.75,3057.75,0.0,2.0,2.0,3810.0,3810.0,0.0,2.0,2.0,2305.5,2305.5,0.0,4.0,3.0,4730.33333333,4730.33333333,0.0,2.0,2.0,6210.5,6210.5,0.0,2.0,1.0,1770.0,,1.0,8.0,2.0,3765.0,3765.0,0.0,4.0,0.0,,,0.0,2.0,0.0,,,0.0,2.0,0.0,,,0.0,4.0,2.0,3765.0,3765.0,0.0,2.0,1.0,3550.0,,1.0,2.0,1.0,3980.0,,1.0,8.0,5.0,3558.2,3558.2,0.0,4.0,2.0,2010.0,2010.0,0.0,2.0,0.0,,,0.0,2.0,2.0,2010.0,2010.0,0.0,4.0,3.0,4590.33333333,4590.33333333,0.0,2.0,1.0,7661.0,,1.0,2.0,2.0,3055.0,3055.0,0.0,8.0,7.0,2445.85714286,2445.85714286,0.0,4.0,4.0,2485.25,2485.25,0.0,4.0,3.0,2393.33333333,2393.33333333,0.0,8.0,8.0,2715.25,2715.25,0.0,4.0,4.0,2605.25,2605.25,0.0,2.0,2.0,3140.0,3140.0,0.0,2.0,2.0,2070.5,2070.5,0.0,4.0,4.0,2825.25,2825.25,0.0,2.0,2.0,3990.5,3990.5,0.0,2.0,2.0,1660.0,1660.0,0.0,0.0
4372,40.0,34.0,1807.44117647,1807.44117647,0.0,8.0,8.0,1697.625,1697.625,0.0,4.0,4.0,1370.25,1370.25,0.0,2.0,2.0,1495.0,1495.0,0.0,2.0,2.0,1245.5,1245.5,0.0,4.0,4.0,2025.0,2025.0,0.0,2.0,2.0,2160.0,2160.0,0.0,2.0,2.0,1890.0,1890.0,0.0,8.0,5.0,1780.0,1780.0,0.0,4.0,2.0,1815.0,1815.0,0.0,2.0,1.0,1610.0,,1.0,2.0,1.0,2020.0,,1.0,4.0,3.0,1756.66666667,1756.66666667,0.0,2.0,2.0,1740.0,1740.0,0.0,2.0,1.0,1790.0,,1.0,8.0,6.0,1736.66666667,1736.66666667,0.0,4.0,2.0,1375.0,1375.0,0.0,2.0,0.0,,,0.0,2.0,2.0,1375.0,1375.0,0.0,4.0,4.0,1917.5,1917.5,0.0,2.0,2.0,1505.0,1505.0,0.0,2.0,2.0,2330.0,2330.0,0.0,8.0,8.0,1682.5,1682.5,0.0,4.0,4.0,1697.5,1697.5,0.0,4.0,4.0,1667.5,1667.5,0.0,8.0,7.0,2156.0,2156.0,0.0,4.0,3.0,2557.0,2557.0,0.0,2.0,1.0,3200.0,,1.0,2.0,2.0,2235.5,2235.5,0.0,4.0,4.0,1855.25,1855.25,0.0,2.0,2.0,1920.0,1920.0,0.0,2.0,2.0,1790.5,1790.5,0.0,0.0
4373,40.0,30.0,3540.56666667,3540.56666667,0.0,8.0,7.0,2244.28571429,2244.28571429,0.0,4.0,4.0,2552.5,2552.5,0.0,2.0,2.0,2580.0,2580.0,0.0,2.0,2.0,2525.0,2525.0,0.0,4.0,3.0,1833.33333333,1833.33333333,0.0,2.0,2.0,1905.0,1905.0,0.0,2.0,1.0,1690.0,,1.0,8.0,4.0,6143.0,6143.0,0.0,4.0,2.0,7015.5,7015.5,0.0,2.0,0.0,,,0.0,2.0,2.0,7015.5,7015.5,0.0,4.0,2.0,5270.5,5270.5,0.0,2.0,1.0,4760.0,,1.0,2.0,1.0,5781.0,,1.0,8.0,6.0,3322.0,3322.0,0.0,4.0,2.0,1470.5,1470.5,0.0,2.0,0.0,,,0.0,2.0,2.0,1470.5,1470.5,0.0,4.0,4.0,4247.75,4247.75,0.0,2.0,2.0,5930.5,5930.5,0.0,2.0,2.0,2565.0,2565.0,0.0,8.0,6.0,4210.33333333,4210.33333333,0.0,4.0,4.0,4972.75,4972.75,0.0,4.0,2.0,2685.5,2685.5,0.0,8.0,7.0,2963.0,2963.0,0.0,4.0,4.0,3060.25,3060.25,0.0,2.0,2.0,4065.5,4065.5,0.0,2.0,2.0,2055.0,2055.0,0.0,4.0,3.0,2833.33333333,2833.33333333,0.0,2.0,2.0,3350.0,3350.0,0.0,2.0,1.0,1800.0,,1.0,0.0
4374,40.0,32.0,3119.25,2949.22580645,1.0,8.0,8.0,2697.875,2697.875,0.0,4.0,4.0,2845.5,2845.5,0.0,2.0,2.0,2580.0,2580.0,0.0,2.0,2.0,3111.0,3111.0,0.0,4.0,4.0,2550.25,2550.25,0.0,2.0,2.0,2920.5,2920.5,0.0,2.0,2.0,2180.0,2180.0,0.0,8.0,6.0,4481.66666667,4481.66666667,0.0,4.0,3.0,5256.66666667,5256.66666667,0.0,2.0,1.0,3630.0,,1.0,2.0,2.0,6070.0,6070.0,0.0,4.0,3.0,3706.66666667,3706.66666667,0.0,2.0,2.0,4005.0,4005.0,0.0,2.0,1.0,3110.0,,1.0,8.0,5.0,3020.2,3020.2,0.0,4.0,3.0,2923.66666667,2923.66666667,0.0,2.0,1.0,3250.0,,1.0,2.0,2.0,2760.5,2760.5,0.0,4.0,2.0,3165.0,3165.0,0.0,2.0,1.0,2260.0,,1.0,2.0,1.0,4070.0,,1.0,8.0,8.0,2502.625,2502.625,0.0,4.0,4.0,2420.25,2420.25,0.0,4.0,4.0,2585.0,2585.0,0.0,8.0,5.0,3244.2,3244.2,0.0,4.0,2.0,3430.5,3430.5,0.0,2.0,1.0,3061.0,,1.0,2.0,1.0,3800.0,,1.0,4.0,3.0,3120.0,3120.0,0.0,2.0,1.0,910.0,,1.0,2.0,2.0,4225.0,4225.0,0.0,0.0
