,proband_id,test_name,phase,trialn,updates,origin,endpoint,moves,marginalpositions,rsp,rt
10,4374,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",8,1911
11,4374,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",1,3070
12,4374,updating,test,9,3,6,15,---d---d---r,"6,6,6,6,10,10,10,10,14,14,14,14,15",15,4590
13,4374,updating,test,10,3,15,11,---l---r---u,"15,15,15,15,14,14,14,14,15,15,15,15,11",6,1871
14,4374,updating,test,11,3,10,6,---l---r---u,"10,10,10,10,9,9,9,9,10,10,10,10,6",6,1980
15,4374,updating,test,12,4,13,15,--u--d--r--r,"13,13,13,9,9,9,13,13,13,14,14,14,15",11,1940
16,4374,updating,test,13,4,3,6,--d--u--d--l,"3,3,3,7,7,7,3,3,3,7,7,7,6",9,2220
17,4374,updating,test,14,4,0,5,--d--u--d--r,"0,0,0,4,4,4,0,0,0,4,4,4,5",10,1370
0,4375,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,1140
1,4375,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",12,1090
2,4375,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",6,3960
3,4375,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,2230
4,4375,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,1210
5,4375,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1010
6,4375,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",2,1430
7,4375,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",1,2430
8,4375,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",4,1300
9,4375,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",2,1510
10,4375,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",8,2210
11,4375,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",2,1610
12,4375,updating,test,9,3,6,15,---d---d---r,"6,6,6,6,10,10,10,10,14,14,14,14,15",15,2010
13,4375,updating,test,10,3,15,11,---l---r---u,"15,15,15,15,14,14,14,14,15,15,15,15,11",11,1120
14,4375,updating,test,11,3,10,6,---l---r---u,"10,10,10,10,9,9,9,9,10,10,10,10,6",6,880
15,4375,updating,test,12,4,13,15,--u--d--r--r,"13,13,13,9,9,9,13,13,13,14,14,14,15",15,1960
16,4375,updating,test,13,4,3,6,--d--u--d--l,"3,3,3,7,7,7,3,3,3,7,7,7,6",6,1590
17,4375,updating,test,14,4,0,5,--d--u--d--r,"0,0,0,4,4,4,0,0,0,4,4,4,5",5,970
18,4375,updating,test,15,6,14,11,-r-u-d-u-u-d,"14,14,15,15,11,11,15,15,11,11,7,7,11",11,870
19,4375,updating,test,16,6,0,10,-d-d-d-r-r-u,"0,0,4,4,8,8,12,12,13,13,14,14,10",9,3231
20,4375,updating,test,17,6,1,9,-d-d-d-r-u-l,"1,1,5,5,9,9,13,13,14,14,10,10,9",5,3910
21,4375,updating,test,18,8,10,7,-lu-lu-rr-dr,"10,10,9,5,5,4,0,0,1,2,2,6,7",5,5570
22,4375,updating,test,19,8,14,9,-rl-rl-ul-lr,"14,14,15,14,14,15,14,14,10,9,9,8,9",6,1050
23,4375,updating,test,20,8,3,1,-ld-rd-uu-ll,"3,3,2,6,6,7,11,11,7,3,3,2,1",5,950
0,4376,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",5,4410
1,4376,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",9,3720
2,4376,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",6,7621
3,4376,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1730
4,4376,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,2600
5,4376,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1360
6,4376,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",2,2511
7,4376,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",1,2050
8,4376,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",12,4120
9,4376,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",1,1500
10,4376,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",12,1850
11,4376,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",3,2200
0,4377,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,1090
1,4377,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",12,1981
2,4377,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",6,2300
3,4377,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,780
4,4377,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,1130
5,4377,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1160
6,4377,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",2,1210
7,4377,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",2,820
8,4377,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",4,880
9,4377,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",2,920
10,4377,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",8,970
11,4377,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",2,970
12,4377,updating,test,9,3,6,15,---d---d---r,"6,6,6,6,10,10,10,10,14,14,14,14,15",15,1061
13,4377,updating,test,10,3,15,11,---l---r---u,"15,15,15,15,14,14,14,14,15,15,15,15,11",11,980
14,4377,updating,test,11,3,10,6,---l---r---u,"10,10,10,10,9,9,9,9,10,10,10,10,6",6,1090
15,4377,updating,test,12,4,13,15,--u--d--r--r,"13,13,13,9,9,9,13,13,13,14,14,14,15",15,2360
16,4377,updating,test,13,4,3,6,--d--u--d--l,"3,3,3,7,7,7,3,3,3,7,7,7,6",6,1010
17,4377,updating,test,14,4,0,5,--d--u--d--r,"0,0,0,4,4,4,0,0,0,4,4,4,5",5,1080
18,4377,updating,test,15,6,14,11,-r-u-d-u-u-d,"14,14,15,15,11,11,15,15,11,11,7,7,11",11,960
19,4377,updating,test,16,6,0,10,-d-d-d-r-r-u,"0,0,4,4,8,8,12,12,13,13,14,14,10",9,1970
20,4377,updating,test,17,6,1,9,-d-d-d-r-u-l,"1,1,5,5,9,9,13,13,14,14,10,10,9",9,700
21,4377,updating,test,18,8,10,7,-lu-lu-rr-dr,"10,10,9,5,5,4,0,0,1,2,2,6,7",11,3460
22,4377,updating,test,19,8,14,9,-rl-rl-ul-lr,"14,14,15,14,14,15,14,14,10,9,9,8,9",9,850
23,4377,updating,test,20,8,3,1,-ld-rd-uu-ll,"3,3,2,6,6,7,11,11,7,3,3,2,1",1,1020
24,4377,updating,test,21,9,5,4,-udd-ldr-luu,"5,5,1,5,9,9,8,12,13,13,12,8,4",10,2210
25,4377,updating,test,22,9,3,0,-dll-rrl-llu,"3,3,7,6,5,5,6,7,6,6,5,4,0",1,5770
26,4377,updating,test,23,9,10,9,-dur-udl-dul,"10,10,14,10,11,11,7,11,10,10,14,10,9",9,790
27,4377,updating,test,24,12,1,12,drududdldlrl,"1,5,6,2,6,2,6,10,9,13,12,13,12",9,1640
28,4377,updating,test,25,12,12,9,rluuurrlldrd,"12,13,12,8,4,0,1,2,1,0,4,5,9",9,750
29,4377,updating,test,26,12,11,6,llrruddudluu,"11,10,9,10,11,7,11,15,11,15,14,10,6",4,4460
0,4378,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,4421
1,4378,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",8,1150
2,4378,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",10,1360
3,4378,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1150
4,4378,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,1590
5,4378,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1230
6,4378,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",3,1310
7,4378,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",2,1250
8,4378,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",4,1010
9,4378,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",1,1030
10,4378,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",9,980
11,4378,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",2,1410
12,4378,updating,test,9,3,6,15,---d---d---r,"6,6,6,6,10,10,10,10,14,14,14,14,15",15,1260
13,4378,updating,test,10,3,15,11,---l---r---u,"15,15,15,15,14,14,14,14,15,15,15,15,11",10,940
14,4378,updating,test,11,3,10,6,---l---r---u,"10,10,10,10,9,9,9,9,10,10,10,10,6",6,1090
15,4378,updating,test,12,4,13,15,--u--d--r--r,"13,13,13,9,9,9,13,13,13,14,14,14,15",15,1020
16,4378,updating,test,13,4,3,6,--d--u--d--l,"3,3,3,7,7,7,3,3,3,7,7,7,6",6,1751
17,4378,updating,test,14,4,0,5,--d--u--d--r,"0,0,0,4,4,4,0,0,0,4,4,4,5",5,1030
18,4378,updating,test,15,6,14,11,-r-u-d-u-u-d,"14,14,15,15,11,11,15,15,11,11,7,7,11",11,880
19,4378,updating,test,16,6,0,10,-d-d-d-r-r-u,"0,0,4,4,8,8,12,12,13,13,14,14,10",10,1190
20,4378,updating,test,17,6,1,9,-d-d-d-r-u-l,"1,1,5,5,9,9,13,13,14,14,10,10,9",9,990
21,4378,updating,test,18,8,10,7,-lu-lu-rr-dr,"10,10,9,5,5,4,0,0,1,2,2,6,7",10,1230
22,4378,updating,test,19,8,14,9,-rl-rl-ul-lr,"14,14,15,14,14,15,14,14,10,9,9,8,9",6,2710
23,4378,updating,test,20,8,3,1,-ld-rd-uu-ll,"3,3,2,6,6,7,11,11,7,3,3,2,1",5,1870
0,4379,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",1,5390
1,4379,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",12,3950
2,4379,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",6,2880
3,4379,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1570
4,4379,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,1490
5,4379,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1370
6,4379,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",2,760
7,4379,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",2,1230
8,4379,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",4,1051
9,4379,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",2,1660
10,4379,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",8,1590
11,4379,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",2,1580
12,4379,updating,test,9,3,6,15,---d---d---r,"6,6,6,6,10,10,10,10,14,14,14,14,15",11,3260
13,4379,updating,test,10,3,15,11,---l---r---u,"15,15,15,15,14,14,14,14,15,15,15,15,11",11,2110
14,4379,updating,test,11,3,10,6,---l---r---u,"10,10,10,10,9,9,9,9,10,10,10,10,6",7,4750
15,4379,updating,test,12,4,13,15,--u--d--r--r,"13,13,13,9,9,9,13,13,13,14,14,14,15",15,2910
16,4379,updating,test,13,4,3,6,--d--u--d--l,"3,3,3,7,7,7,3,3,3,7,7,7,6",6,5760
17,4379,updating,test,14,4,0,5,--d--u--d--r,"0,0,0,4,4,4,0,0,0,4,4,4,5",5,3071
18,4379,updating,test,15,6,14,11,-r-u-d-u-u-d,"14,14,15,15,11,11,15,15,11,11,7,7,11",10,2860
19,4379,updating,test,16,6,0,10,-d-d-d-r-r-u,"0,0,4,4,8,8,12,12,13,13,14,14,10",6,5830
20,4379,updating,test,17,6,1,9,-d-d-d-r-u-l,"1,1,5,5,9,9,13,13,14,14,10,10,9",10,2820
0,4380,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,5951
1,4380,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",8,2640
2,4380,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",6,1500
3,4380,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,5360
4,4380,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,4380
5,4380,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1651
6,4380,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",2,2030
7,4380,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",2,1350
8,4380,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",4,1160
9,4380,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",5,1360
10,4380,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",4,1661
11,4380,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",6,2220
0,4381,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",8,3180
1,4381,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",8,37022
2,4381,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",6,3791
3,4381,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1290
4,4381,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,1881
5,4381,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1070
6,4381,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",2,1490
7,4381,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",2,1290
8,4381,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",4,1340
9,4381,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",2,1080
10,4381,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",8,1400
11,4381,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",2,1060
12,4381,updating,test,9,3,6,15,---d---d---r,"6,6,6,6,10,10,10,10,14,14,14,14,15",11,1520
13,4381,updating,test,10,3,15,11,---l---r---u,"15,15,15,15,14,14,14,14,15,15,15,15,11",11,1180
14,4381,updating,test,11,3,10,6,---l---r---u,"10,10,10,10,9,9,9,9,10,10,10,10,6",6,1120
15,4381,updating,test,12,4,13,15,--u--d--r--r,"13,13,13,9,9,9,13,13,13,14,14,14,15",15,1270
16,4381,updating,test,13,4,3,6,--d--u--d--l,"3,3,3,7,7,7,3,3,3,7,7,7,6",6,850
17,4381,updating,test,14,4,0,5,--d--u--d--r,"0,0,0,4,4,4,0,0,0,4,4,4,5",5,780
18,4381,updating,test,15,6,14,11,-r-u-d-u-u-d,"14,14,15,15,11,11,15,15,11,11,7,7,11",11,930
19,4381,updating,test,16,6,0,10,-d-d-d-r-r-u,"0,0,4,4,8,8,12,12,13,13,14,14,10",10,2000
20,4381,updating,test,17,6,1,9,-d-d-d-r-u-l,"1,1,5,5,9,9,13,13,14,14,10,10,9",9,4160
21,4381,updating,test,18,8,10,7,-lu-lu-rr-dr,"10,10,9,5,5,4,0,0,1,2,2,6,7",7,11331
22,4381,updating,test,19,8,14,9,-rl-rl-ul-lr,"14,14,15,14,14,15,14,14,10,9,9,8,9",6,7740
23,4381,updating,test,20,8,3,1,-ld-rd-uu-ll,"3,3,2,6,6,7,11,11,7,3,3,2,1",3,15740
24,4381,updating,test,21,9,5,4,-udd-ldr-luu,"5,5,1,5,9,9,8,12,13,13,12,8,4",2,24501
25,4381,updating,test,22,9,3,0,-dll-rrl-llu,"3,3,7,6,5,5,6,7,6,6,5,4,0",6,16921
26,4381,updating,test,23,9,10,9,-dur-udl-dul,"10,10,14,10,11,11,7,11,10,10,14,10,9",11,23132
0,4383,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,2870
1,4383,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",12,1130
2,4383,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",5,1120
3,4383,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1840
4,4383,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,1480
5,4383,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",9,2350
6,4383,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",3,2730
7,4383,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",5,1131
8,4383,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",13,1530
0,4384,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,6041
1,4384,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",8,2110
2,4384,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",13,7890
3,4384,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1030
4,4384,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,1200
5,4384,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",12,1030
6,4384,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",8,1120
7,4384,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",11,990
8,4384,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",13,1000
0,4385,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",10,15441
1,4385,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",8,12691
2,4385,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",6,5521
3,4385,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",10,9431
4,4385,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",10,4590
5,4385,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",14,2260
0,4386,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,1910
1,4386,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",8,2110
2,4386,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",9,1271
3,4386,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1610
4,4386,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,2000
5,4386,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1620
6,4386,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",0,2010
7,4386,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",7,2200
8,4386,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",14,2761
0,4387,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,4200
1,4387,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",8,990
2,4387,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",6,3881
3,4387,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1070
4,4387,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,1300
5,4387,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,961
6,4387,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",2,1360
7,4387,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",2,1870
8,4387,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",4,1351
9,4387,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",2,1500
10,4387,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",8,2481
11,4387,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",2,4950
